# The query language's own function catalogue: a function name and the description the
# engine publishes for it. A schema token equal to a function's name is a fact about the
# standard this tool executes rather than an observation of any corpus, and the entry's
# own description is what states the words the name stands for — abs is published as
# "Absolute value", which is the citation, not a guess about it.
#
# Source: DuckDB's duckdb_functions() catalogue, read from the embedded engine at
#   version v1.5.5; scalar and aggregate functions only.
# Licence: DuckDB is distributed under the MIT licence
#   (https://github.com/duckdb/duckdb/blob/main/LICENSE). A function's name and the
#   description of what it computes are statements of the standard the tool runs.
# Generated by SqlFunctionExtraction: 506 functions.
!__postfix	Factorial of x. Computes the product of the current integer and all integers below it
&	Bitwise AND
struct_has	Check if an unnamed STRUCT contains the value.
struct_indexof	Get the position of the entry in an unnamed STRUCT, starting at 1.
struct_insert	Adds field(s)/value(s) to an existing STRUCT with the argument values. The entry name(s) will be the bound variable name(s)
struct_keys	Returns the field names of a STRUCT as a list
struct_pack	Create a STRUCT containing the argument values. The entry name will be the bound variable name.
struct_position	Get the position of the entry in an unnamed STRUCT, starting at 1.
struct_update	Changes field(s)/value(s) to an existing STRUCT with the argument values. The entry name(s) will be the bound variable name(s)
struct_values	Returns the field values of a STRUCT as an UnnamedStruct
substr	Extracts substring starting from character `start` up to the end of the string. If optional argument `length` is set, extracts a substring of `length` characters instead. Note that a `start` value of `1` refers to the first character of the `string`.
substring	Extracts substring starting from character `start` up to the end of the string. If optional argument `length` is set, extracts a substring of `length` characters instead. Note that a `start` value of `1` refers to the first character of the `string`.
substring_grapheme	Extracts substring starting from grapheme clusters `start` up to the end of the string. If optional argument `length` is set, extracts a substring of `length` grapheme clusters instead. Note that a `start` value of `1` refers to the `first` character of the `string`.
suffix	Returns `true` if `string` ends with `search_string`.
sum	Calculates the sum value for all tuples in arg.
sum_no_overflow	Internal only. Calculates the sum value for all tuples in arg without overflow checks.
sumkahan	Calculates the sum using a more accurate floating point summation (Kahan Sum).
switch	Creates a switch statement similar to CASE WHEN/THEN
tan	Computes the tan of x
tanh	Computes the hyperbolic tan of x
time_bucket	Truncate TIMESTAMPTZ by the specified interval bucket_width. Buckets are aligned relative to origin TIMESTAMPTZ. The origin defaults to 2000-01-03 00:00:00+00 for buckets that do not include a month or year interval, and to 2000-01-01 00:00:00+00 for month and year buckets
timetz_byte_comparable	Converts a TIME WITH TIME ZONE to an integer sort key
timezone	Extract the timezone component from a date or timestamp
timezone_hour	Extract the timezone_hour component from a date or timestamp
timezone_minute	Extract the timezone_minute component from a date or timestamp
to_base	Converts `number` to a string in the given base `radix`, optionally padding with leading zeros to `min_length`.
to_base64	Converts a `blob` to a base64 encoded string.
to_binary	Converts the `string` to binary representation.
to_binary	Converts the `value` to binary representation.
to_centuries	Construct a century interval
to_days	Construct a day interval
to_decades	Construct a decade interval
to_hex	Converts `blob` to `VARCHAR` using hexadecimal encoding.
to_hex	Converts the `string` to hexadecimal representation.
to_hex	Converts the `value` to `VARCHAR` using hexadecimal representation.
to_hours	Construct a hour interval
to_microseconds	Construct a microsecond interval
to_millennia	Construct a millenium interval
to_milliseconds	Construct a millisecond interval
to_minutes	Construct a minute interval
to_months	Construct a month interval
to_quarters	Construct a quarter interval
to_seconds	Construct a second interval
to_timestamp	Converts secs since epoch to a timestamp with time zone
to_weeks	Construct a week interval
to_years	Construct a year interval
transaction_timestamp	Returns the current timestamp
translate	Replaces each character in `string` that matches a character in the `from` set with the corresponding character in the `to` set. If `from` is longer than `to`, occurrences of the extra characters in `from` are deleted.
trim	Removes any occurrences of any of the `characters` from either side of the `string`. `characters` defaults to `space`.
trunc	Truncates the number
try_strptime	Converts the `string` text to timestamp according to the format string. Returns `NULL` on failure.
txid_current	Returns the current transaction’s ID (a BIGINT). It will assign a new one if the current transaction does not have one already
typeof	Returns the name of the data type of the result of the expression
ucase	Converts `string` to upper case.
unbin	Converts a `value` from binary representation to a blob.
unhex	Converts a `value` from hexadecimal representation to a blob.
unicode	Returns an `INTEGER` representing the `unicode` codepoint of the first character in the `string`.
union_extract	Extract the value with the named tags from the union. NULL if the tag is not currently selected
union_tag	Retrieve the currently selected tag of the union as an ENUM
union_value	Create a single member UNION containing the argument value. The tag of the value will be the bound variable name
unpivot_list	Identical to list_value, but generated as part of unpivot for better error messages.
upper	Converts `string` to upper case.
url_decode	Decodes a URL from a representation using Percent-Encoding.
url_encode	Encodes a URL to a representation using Percent-Encoding.
uuid	Returns a random UUID v4 similar to this: eeccb8c5-9943-b2bb-bb5e-222f4e14b687
uuid_extract_timestamp	Extract the timestamp for the given UUID v7.
uuid_extract_version	Extract a version for the given UUID.
uuidv4	Returns a random UUIDv4 similar to this: eeccb8c5-9943-b2bb-bb5e-222f4e14b687
uuidv7	Returns a random UUID v7 similar to this: 019482e4-1441-7aad-8127-eec99573b0a0
var_pop	Returns the population variance.
var_samp	Returns the sample variance of all input values.
variance	Returns the sample variance of all input values.
variant_normalize	Normalizes the `input_variant` to a canonical representation.
variant_typeof	Returns the internal type of the `input_variant`.
vector_type	Returns the VectorType of a given column
version	Returns the currently active version of DuckDB in this format: v0.3.2
week	Extract the week component from a date or timestamp
weekday	Extract the weekday component from a date or timestamp
weekofyear	Extract the weekofyear component from a date or timestamp
write_log	Writes to the logger
xor	Bitwise XOR
year	Extract the year component from a date or timestamp
yearweek	Extract the yearweek component from a date or timestamp
|	Bitwise OR
||	Concatenates two strings, lists, or blobs. Any `NULL` input results in `NULL`. See also `concat(arg1, arg2, ...)` and `list_concat(list1, list2, ...)`.
~	Bitwise NOT
